rho,iter,conv,bound,wmax,xerr,xbar
1.0,78,2.2140983955073455e-06,-108390.07450474231,190.6529814929127,0.0027166183058682236,79.9986416751 249.998641707 170.002716618
1.0,79,1.5840661602341824e-06,-108390.07450474231,190.6541304304356,0.0022979306222623563,80.001148949 250.001148982 169.997702069
1.0,80,1.1139898595937897e-05,-108390.07450474231,190.65717727376006,0.006093742474860164,80.003046855 250.003046887 169.993906258
1.0,81,2.037544629856579e-05,-108390.07450474231,190.6612978977461,0.008241304796342774,80.0041206367 250.004120668 169.991758695
1.0,82,2.248486684056455e-05,-108390.07450474231,190.6656265683193,0.008657398869388544,80.0043286841 250.004328715 169.991342601
1.0,83,1.7151499698946147e-05,-108390.04638261966,190.66940716586987,0.007561254029894826,80.0037806124 250.003780642 169.992438746
1.0,84,8.707681284579061e-06,-108390.04638261966,190.6721009363827,0.0053876009528721625,80.0026937863 250.002693815 169.994612399
1.0,85,2.1518915663336384e-06,-108390.04638261966,190.67344005619563,0.002678299891442748,80.0013391359 250.001339164 169.9973217
1.0,86,2.0099101997002622e-10,-108390.04638261966,190.6734271139583,2.582435391218496e-05,79.9999870737 249.999987102 170.000025824
1.0,87,1.5526964844574246e-06,-108390.04638261966,190.67228961050222,0.002274947187373755,79.9988625121 249.998862541 170.002274947
1.0,88,4.264113912418308e-06,-108390.04638261966,190.6704045565716,0.003770048392254921,79.9981149613 249.99811499 170.003770048
1.0,89,5.7755053282092034e-06,-108390.04638261966,190.6682107195406,0.00438761476630134,79.9978061781 249.997806207 170.004387615
1.0,90,5.219256698410515e-06,-108390.04638261966,190.6661252027576,0.004170974390433457,79.9979144982 249.997914527 170.004170974
1.0,91,3.2577529391857793e-06,-108390.02414346674,190.66447753920144,0.003295268743528368,79.9983523506 249.998352381 170.003295269
1.0,92,1.219701049237585e-06,-108390.02414346674,190.6634693638946,0.002016293013411996,79.9989918381 249.998991869 170.002016293
1.0,93,1.132754013382585e-07,-108390.02414346674,190.66316212454555,0.0006144214859489239,79.9996927737 249.999692805 170.000614421
1.0,94,1.2916388431208511e-07,-108390.02414346674,190.6634902049335,0.0006562179452487271,80.0003280934 250.000328125 169.999343782
1.0,95,7.734493950698063e-07,-108390.02414346674,190.66429303830293,0.001605724055934843,80.0008028466 250.000802877 169.998394276
1.0,96,1.3601888199513058e-06,-108390.02414346674,190.66535769352717,0.0021293680729854714,80.0010646687 250.001064699 169.997870632
1.0,97,1.4662830318625864e-06,-108390.02414346674,190.66646309091615,0.0022108532954803195,80.0011054118 250.001105441 169.997789147
1.0,98,1.0946966507392347e-06,-108390.00907370102,190.66741820719741,0.0019102919832221232,80.0009551316 250.00095516 169.998089708
1.0,99,5.39800406294462e-07,-108390.00907370102,190.66808890337015,0.0013414521338290797,80.0006707118 250.00067074 169.998658548
1.0,100,1.243412664263601e-07,-108390.00907370102,190.66841080022374,0.0006438534746280311,80.0003219125 250.000321941 169.999356147
10.0,1,4440.666666666666,-115399.99999999999,666.6666666666669,58.333333333333314,57.3333333333 308.333333333 134.333333333
10.0,2,2531.109256477473,-115399.99999999999,187.77777812448164,45.15555558691085,68.9722221722 295.155555587 135.872222241
10.0,3,110.15127563654247,-115399.99999999999,180.96296290342252,39.585185205797586,74.4074073572 289.585185206 136.007407437
10.0,4,15.463745032189031,-115399.99999999999,203.66666670405607,36.285185209487565,78.7074073499 286.285185209 135.007407441
10.0,5,3.0148329774724747,-114402.22221772227,208.67901237911667,35.491357987874494,82.0049382071 283.486419781 134.508642012
10.0,6,9.372059311939754,-113784.03292329435,217.51646089100802,35.10637856590958,83.5349793605 281.571399205 134.893621434
10.0,7,4.539003858055147,-112694.08093591906,223.6666667155754,34.10637856131831,83.8349793483 280.271399213 135.893621439
10.0,8,5.705986219252955e-14,-112441.11107154316,223.66666589144756,33.10637862406986,84.1349794891 278.971399135 136.893621376
10.0,9,6.395025638535378e-15,-112441.11100248713,223.666666125622,32.106378666295086,84.4349795817 277.671399085 137.893621334
10.0,10,3.283228357122148e-15,-112441.11100248713,223.6666663070372,31.106378693570775,84.7349796404 276.371399053 138.893621306
10.0,11,6.5551775201908205e-15,-112441.11100248713,223.66666655841527,30.106378700333494,85.0349796517 275.071399049 139.8936213
10.0,12,7.514945113264192e-15,-112441.11100248713,223.6666662391849,29.10637872630457,85.3349797123 273.771399014 140.893621274
10.0,13,2.1525675060044577e-14,-112441.11100248713,223.66666675539193,28.106378721614874,85.6349796949 272.471399027 141.893621278
10.0,14,1.503736692656186e-16,-112441.11100248713,223.66666678337367,27.106378709751368,85.9349796713 271.171399038 142.89362129
10.0,15,1.844635929473784e-19,-112441.11100248713,223.6666667860834,26.106378697646903,86.2349796472 269.871399051 143.893621302
10.0,16,1.1471657470742987e-19,-112441.11100248713,223.66666678626132,25.106378685485367,86.5349796227 268.571399063 144.893621315
10.0,17,2.4387276988601936e-19,-112441.11100248713,223.66666678603224,24.106378673513007,86.8349795985 267.271399075 145.893621326
10.0,18,6.428272205946611e-18,-112441.11100248713,223.6666667648882,23.106378662322868,87.1349795747 265.971399088 146.893621338
10.0,19,1.3821459989257977e-17,-112441.11100248713,223.66666674309272,22.106378652236515,87.4349795521 264.6713991 147.893621348
10.0,20,4.107645200235617e-15,-112441.11100248713,223.6666665667383,21.10637866012567,87.7349795667 263.371399093 148.89362134
10.0,21,8.984546904633496e-17,-112441.11100248713,223.66666652623394,20.10637867024002,88.0349795866 262.071399084 149.89362133
10.0,22,4.727425648388683e-16,-112441.11100248713,223.66666643909014,19.106378686842817,88.3349796164 260.77139907 150.893621313
10.0,23,5.699034716635771e-16,-112441.11100248713,223.66666650687023,18.106378686013187,88.634979624 259.471399062 151.893621314
10.0,24,3.300492938099218e-16,-112441.11100248713,223.66666648897763,17.10637868805557,88.934979636 258.171399052 152.893621312
10.0,25,6.2261427002763594e-15,-112441.11100248713,223.6666655903548,16.10637871949325,89.234979634 256.871399086 153.893621281
10.0,26,6.80489574645742e-15,-112441.11093674798,223.6666665414981,15.106378722897574,89.5349796491 255.571399074 154.893621277
10.0,27,5.198797783165852e-15,-112441.11093674798,223.66666686248777,14.106378702566133,89.8349796078 254.271399095 155.893621297
10.0,28,2.5282341522486024e-14,-112441.11093674798,223.66666502784767,13.106378730303334,90.1349795223 252.971399208 156.89362127
10.0,29,2.266996532161753e-14,-112441.11084392369,223.66666676567746,12.10637871483354,90.4349794823 251.671399233 157.893621285
10.0,30,1.7993829528239572e-16,-112441.11084392369,223.66666688034684,11.106378692377575,90.7349794364 250.371399256 158.893621308
10.0,31,0.28743313283144956,-112441.11084392369,217.47599505382595,10.880212638731308,90.8802126387 249.380932833 159.738854528
10.0,32,0.8635328186545417,-111667.27709920295,206.74577095758536,10.757190217836282,90.7571902178 248.926977636 160.315832147
10.0,33,0.7772201746481269,-110325.99908716857,196.56592043908375,10.37967154372366,90.3796715437 248.982014957 160.638313499
