rho,iter,conv,wmax,xerr,xbar
10.0,41,0.027360181917114486,200.36904370353255,7.051256943208543,87.0512569432 249.938439594 163.010303461
10.0,42,0.058276259117292284,199.0578279692636,6.736035982017029,86.736035982 249.868881566 163.395082441
10.0,43,0.05946039374890214,197.7199692045258,6.38736857179893,86.3873685718 249.866216471 163.746414947
10.0,44,0.04042980775510488,196.8102986235442,6.015959426748921,86.0159594267 249.909034886 164.075005676
10.0,45,0.014266250006474794,196.48930809275157,5.636525570143206,85.6365255701 249.967902796 164.395571623
10.0,46,0.007931459604043943,196.66776603104807,5.27940101341747,85.2615532495 250.017847752 164.720598987
10.0,47,0.020086043993654497,197.11970212221502,4.943075297119435,84.8978794739 250.045195811 165.056924703
10.0,48,0.02149369046507685,197.60331026332437,4.59465945523948,84.546296129 250.048363313 165.405340545
10.0,49,0.015267499535039204,197.94682911267387,4.237655763777383,84.2033011133 250.034354636 165.762344236
10.0,50,0.006027764682065772,198.08245394254897,3.8772611299486925,83.863695745 250.013565372 166.12273887
10.0,51,0.0021412794645417283,198.0342752832084,3.5228859086104904,83.5228859086 249.995185044 166.481929034
10.0,52,0.006873530297056618,197.87962098362925,3.1782097144276946,83.1782097144 249.984537434 166.837252838
10.0,53,0.007737187709519983,197.70553439766786,2.8291813563665755,82.8291813564 249.982594155 167.188224474
10.0,54,0.005733908897130707,197.57652159084387,2.476927681665515,82.4769276817 249.987101518 167.535970785
10.0,55,0.002487104200573261,197.52056189617122,2.1232750297755274,82.1232750298 249.994406859 167.882318096
10.0,56,0.0005064408694421571,197.53195697274293,1.7710497412590485,81.7699073175 250.001142408 168.228950259
10.0,57,0.0023332517801624895,197.58445530244927,1.4231052296960343,81.4178523813 250.005252831 168.57689477
10.0,58,0.0027730725442628077,197.64684960712344,1.0736013671036915,81.067358811 250.006242538 168.926398633
10.0,59,0.002142308112475967,197.69505172196972,0.7228918162991533,80.7180683754 250.004823422 169.277108184
10.0,60,0.001007516285410601,197.7177210290867,0.37161584496732303,80.3693455959 250.00227023 169.628384155
10.0,61,9.187667606151233e-05,197.71565400334538,0.020606717288657705,80.0206067173 249.999796675 169.979596587
10.0,62,0.09742369462432837,197.1509152438867,0.27567358952342147,79.7808002826 249.943526128 170.27567359
10.0,63,0.1443573356332561,195.63423321852952,0.47645613222536554,79.6752089532 249.848334892 170.476456132
10.0,64,0.15049834606665513,193.2712028338844,0.5643649233660994,79.6719358589 249.763699198 170.564364923
10.0,65,0.14495010512917694,190.5793873203254,0.5435611357553398,79.7256189385 249.730819908 170.543561136
10.0,66,0.11616854540925362,188.19782146409722,0.43563093898754346,79.8025246497 249.761844396 170.435630939
10.0,67,0.07282257022618113,186.61599290446304,0.2730838143124288,79.8850982787 249.841817893 170.273083814
10.0,68,0.025567800932152964,186.04071750902392,0.09211378507217205,79.9654130726 249.942473129 170.092113785
10.0,69,0.019745661841819622,186.404448396016,0.074046997935028,80.0376732075 250.036373778 169.925953002
10.0,70,0.05337930671032925,187.4561614142837,0.20017330102569986,80.0950011955 250.105172093 169.799826699
10.0,71,0.07251076339740968,188.86983936793484,0.2719165316786416,80.1305477523 250.141368766 169.728083468
10.0,72,0.07636847089013561,190.33042405963158,0.28638340927895456,80.1403237092 250.146059686 169.713616591
10.0,73,0.06685504610041607,191.58558256000504,0.25070900231651194,80.1251916524 250.125517334 169.749290998
10.0,74,0.04778465483876618,192.46883387254286,0.17919610418178422,80.090869243 250.088326845 169.820803896
10.0,75,0.023928618987205316,192.90397109400004,0.08973674174404778,80.0462211522 250.043515573 169.910263258
10.0,76,0.0005032844246039127,192.89793818837921,0.0008332957606711489,80.0008332958 249.999398578 169.999768109
